megadbid,reg_id,year,plot_use,matchto,origplotno,area,wilderns,roundno,year,sampleno,labbatch,scicode,fieldrep,labrep,colldate,hg_ppb,lab,,
866,6,2010,86251 41 35,1026176,,Fremont-Winema NF,,2010-2019,2010,R6_2010007,P130  10-11,Letvul,1,1,7/27/2010,624.48,UMN_RAL,,
4035,6,2010,SL-1,SL-1,,Fremont-Winema NF,,2010-2019,2010,R6_2010036,P130  10-11,Letvul,1,1,7/25/2010,637.23,UMN_RAL,,
106868,6,2013,99525 41 35,1022228,,Fremont-Winema NF,,2010-2019,2013,R6_2013003,P045 13-14,Letvul,1,1,7/3/2013,648.05,UMN_RAL,,
1019,6,2010,69938 41 35,1048192,,Fremont-Winema NF,,2010-2019,2010,R6_2010026,P130  10-11,Letvul,1,1,7/21/2010,675.94,UMN_RAL,,
893,6,2010,77275 41 35,1030196,,Fremont-Winema NF,,2010-2019,2010,R6_2010044,P130  10-11,Letvul,1,1,7/27/2010,688.6,UMN_RAL,,
893,6,2010,77275 41 35,1030196,,Fremont-Winema NF,,2010-2019,2010,R6_2010044,P130  10-11,Letvul,1,2,7/27/2010,731.84,UMN_RAL,,
959,6,2010,56014 41 35,1038184,,Fremont-Winema NF,,2010-2019,2010,R6_2010021,P130  10-11,Letvul,1,1,7/21/2010,748.68,UMN_RAL,,
959,6,2010,56014 41 35,1038184,,Fremont-Winema NF,,2010-2019,2010,R6_2010021,P130  10-11,Letvul,1,2,7/21/2010,761.62,UMN_RAL,,
106867,6,2013,92005 41 37,1020244,,Fremont-Winema NF,,2010-2019,2013,R6_2013149,P045 13-14,Letvul,1,1,7/3/2013,765.33,UMN_RAL,,
959,6,2010,56014 41 35,1038184,,Fremont-Winema NF,,2010-2019,2010,R6_2010022,P130  10-11,Letvul,2,2,7/21/2010,769.05,UMN_RAL,,
959,6,2010,56014 41 35,1038184,,Fremont-Winema NF,,2010-2019,2010,R6_2010022,P130  10-11,Letvul,2,1,7/21/2010,779.8,UMN_RAL,,
104817,14,2011,30_HEELK1_2011,30_HEELK1,,Helena-Lewis and Clark NFs,Elkhorn Wildlife management Unit,2010-2019,2011,R14_2011062,,Letvul,1,1,7/14/2011,243.26,UMN_RAL,,
104820,14,2011,30_HELTC_2011,30_HELTC,,Helena-Lewis and Clark NFs,,2010-2019,2011,R14_2011074,,Usnlap,1,1,6/6/2011,258.58,UMN_RAL,,
107310,14,2014,30_REFRIDGE_14,30_REFRIDGE_14,GateMt15,Helena-Lewis and Clark NFs,,2010-2019,2014,R14_2014020,P064 14-15,Letvul/Letcol,1,2,,309.55,UMN_RAL,,
107310,14,2014,30_REFRIDGE_14,30_REFRIDGE_14,GateMt15,Helena-Lewis and Clark NFs,,2010-2019,2014,R14_2014020,P064 14-15,Letvul/Letcol,1,1,,311.88,UMN_RAL,,
104819,14,2011,30_HELSG_2011,30_HELSG,,Helena-Lewis and Clark NFs,,2010-2019,2011,R14_2011070,,Usnlap,1,1,6/6/2011,345.87,UMN_RAL,,
107305,14,2014,30_MERIWETHER_14,30_MERIWETHER,GateMt14,Helena-Lewis and Clark NFs,,2010-2019,2014,R14_2014018,P064 14-15,Letvul,1,2,,374.1,UMN_RAL,,
107305,14,2014,30_MERIWETHER_14,30_MERIWETHER,GateMt14,Helena-Lewis and Clark NFs,,2010-2019,2014,R14_2014018,P064 14-15,Letvul,1,1,,377.05,UMN_RAL,,
104819,14,2011,30_HELSG_2011,30_HELSG,,Helena-Lewis and Clark NFs,,2010-2019,2011,R14_2011068,,Letvul,1,1,6/6/2011,413.23,UMN_RAL,,
104820,14,2011,30_HELTC_2011,30_HELTC,,Helena-Lewis and Clark NFs,,2010-2019,2011,R14_2011072,,Letvul,1,1,6/6/2011,441.54,UMN_RAL,,
107295,14,2012,30_TSKI_2012,30_TSKI,,Lewis and Clark NF,,2010-2019,2012,R14_2012001,,Letvul,1,1,7/27/2012,279.44,UMN_RAL,,
108238,14,2015,30_SFRK_SUN_2015,30_SFRK_SUN,BobMar48,Lewis and Clark NF,Bob Marshall Wilderness,2010-2019,2015,R14_2015005,P077 16-17,Letvul,1,1,6/30/2015,285,UMN_RAL,,
104816,14,2011,30_GFLC_2011,30_GFLC,,Lewis and Clark NF,,2010-2019,2011,R14_2011059,,Letvul,1,1,7/26/2011,326.05,UMN_RAL,,
104814,14,2011,30_GFJU_2011,30_GFJU,,Lewis and Clark NF,,2010-2019,2011,R14_2011053,,Letvul,1,2,7/26/2011,339.99,UMN_RAL,,
108236,14,2015,30_MORTIMER_GULCH_2015,30_MORTIMER_GULCH,BobMar47; Montimer Gulch,Lewis and Clark NF,Bob Marshall Wilderness,2010-2019,2015,R14_2015003,P077 16-17,Letvul,1,1,6/30/2015,352.26,UMN_RAL,,
104814,14,2011,30_GFJU_2011,30_GFJU,,Lewis and Clark NF,,2010-2019,2011,R14_2011053,,Letvul,1,1,7/26/2011,375.5,UMN_RAL,,
104815,14,2011,30_GFKH_2011,30_GFKH,,Lewis and Clark NF,,2010-2019,2011,R14_2011056,,Letvul,1,1,7/27/2011,403.86,UMN_RAL,,
108235,14,2015,30_OUR_LAKE_2015,30_OUR_LAKE_2015,BobMar46,Lewis and Clark NF,Bob Marshall Wilderness,2010-2019,2015,R14_2015007,P077 16-17,Letvul,1,1,7/1/2015,517.63,UMN_RAL,,
2380,6,2007,95896 53 53,1212188,,Mount Baker-Snoqualmie NF,Norse Peak Wilderness,2000-2009,2007,R6_2007143,P072 07-08,Alesar,1,1,9/7/2007,46.87,UMN_RAL,,
2380,6,2007,95896 53 53,1212188,,Mount Baker-Snoqualmie NF,Norse Peak Wilderness,2000-2009,2007,R6_2007143,P072 07-08,Alesar,1,2,9/7/2007,59.08,UMN_RAL,,
2406,6,2007,61807 53 61,1252192,,Mount Baker-Snoqualmie NF,Glacier Peak Wilderness,2000-2009,2007,R6_2007075,P072 07-08,Plagla,2,1,7/28/2007,62.92,UMN_RAL,,
2771,6,2007,95227 53 31,1234184,,Mount Baker-Snoqualmie NF,Alpine Lakes Wilderness,2000-2009,2007,R6_2007072,P072 07-08,Plagla,1,1,7/26/2007,72.52,UMN_RAL,,
107955,6,2017,74518 53 57,1268200,,Mount Baker-Snoqualmie NF,Glacier Peak Wilderness,2010-2019,2017,R6_2017113,P064 17-18,Plagla,1,1,9/1/2017,88.476,UMN_RAL,,
2783,6,2007,68783 53 61,1258172,,Mount Baker-Snoqualmie NF,Boulder River Wilderness,2000-2009,2007,R6_2007069,P072 07-08,Plagla,1,1,7/29/2007,92.82,UMN_RAL,,
3115,6,2008,C2CAlpC,C2CAlp,,Mount Baker-Snoqualmie NF,Alpine Lakes Wilderness,2000-2009,2008,R6_2008001,P004 08-09,Plagla,2,1,7/23/2008,95.38,UMN_RAL,,
106861,6,2013,BouldR01,BouldR01,,Mount Baker-Snoqualmie NF,Boulder River Wilderness,2010-2019,2013,R6_2013205,P045 13-14,Plagla,1,1,9/14/2013,95.79,UMN_RAL,,
2779,6,2007,58763 53 61,1250184,,Mount Baker-Snoqualmie NF,Henry M. Jackson Wilderness,2000-2009,2007,R6_2007141,P072 07-08,Plagla,1,1,9/5/2007,96.32,UMN_RAL,,
106861,6,2013,BouldR01,BouldR01,,Mount Baker-Snoqualmie NF,Boulder River Wilderness,2010-2019,2013,R6_2013209,P045 13-14,Plagla,2,1,9/14/2013,105.63,UMN_RAL,,
2779,6,2007,58763 53 61,1250184,,Mount Baker-Snoqualmie NF,Henry M. Jackson Wilderness,2000-2009,2007,R6_2007149,P072 07-08,Sphglo,1,1,9/5/2007,110.89,UMN_RAL,,
2778,6,2011,64458 53 61,1246192,,Mount Baker-Snoqualmie NF,Wild Sky Wilderness,2010-2019,2011,R6_2011094,P051 11-12,Plagla,1,2,7/28/2011,122.51,UMN_RAL,,
107765,6,2015,93641 53 33,1236180,,Mount Baker-Snoqualmie NF,Alpine Lakes Wilderness,2010-2019,2015,R6_2015107,P102&127 15-16,Plagla,1,1,7/29/2015,125.28,UMN_RAL,,
107956,6,2017,73462 53 73,1276176,,Mount Baker-Snoqualmie NF,Noisy-Diobsud Wilderness,2010-2019,2017,R6_2017128,P064 17-18,Plagla,1,1,8/29/2017,126.252,UMN_RAL,,
2788,6,2007,88024 53 73,1278176,,Mount Baker-Snoqualmie NF,Noisy-Diobsud Wilderness,2000-2009,2007,R6_2007138,P072 07-08,Plagla,1,1,9/3/2007,127.5,UMN_RAL,,
2781,6,2007,63058 53 61,1252188,,Mount Baker-Snoqualmie NF,Henry M. Jackson Wilderness,2000-2009,2007,R6_2007085,P072 07-08,Hypent,1,1,7/29/2007,131.05,UMN_RAL,,
2781,6,2007,63058 53 61,1252188,,Mount Baker-Snoqualmie NF,Henry M. Jackson Wilderness,2000-2009,2007,R6_2007085,P072 07-08,Hypent,1,2,7/29/2007,132.37,UMN_RAL,,
2778,6,2011,64458 53 61,1246192,,Mount Baker-Snoqualmie NF,Wild Sky Wilderness,2010-2019,2011,R6_2011094,P051 11-12,Plagla,1,1,7/28/2011,134.02,UMN_RAL,,
2787,6,2007,73462 53 73,1276176,,Mount Baker-Snoqualmie NF,Noisy-Diobsud Wilderness,2000-2009,2007,R6_2007146,P072 07-08,Alesar,1,1,9/4/2007,136.96,UMN_RAL,,
2778,6,2011,64458 53 61,1246192,,Mount Baker-Snoqualmie NF,Wild Sky Wilderness,2010-2019,2011,R6_2011083,P051 11-12,Plagla,2,1,7/28/2011,142.67,UMN_RAL,,
2788,6,2007,88024 53 73,1278176,,Mount Baker-Snoqualmie NF,Noisy-Diobsud Wilderness,2000-2009,2007,R6_2007138,P072 07-08,Plagla,1,2,9/3/2007,145.14,UMN_RAL,,
107761,6,2015,87985 53 33,1226180,,Mount Baker-Snoqualmie NF,Alpine Lakes Wilderness,2010-2019,2015,R6_2015105,P102&127 15-16,Plagla,1,1,8/1/2015,145.2,UMN_RAL,,
107949,6,2017,63058 53 61,1252188,,Mount Baker-Snoqualmie NF,Henry M. Jackson Wilderness,2010-2019,2017,R6_2017011,P064 17-18,Plagla,1,1,8/24/2017,148.243,UMN_RAL,,
2436,6,2005,98195 53 73,1288164,,Mount Baker-Snoqualmie NF,Mount Baker Wilderness,2000-2009,2005,R6_2005423,P071 05-06,Plagla,1,2,9/21/2005,152.5,UMN_RAL,,
2391,6,2005,93641 53 33,1236180,,Mount Baker-Snoqualmie NF,Alpine Lakes Wilderness,2000-2009,2005,R6_2005531,P071 05-06,Plagla,1,1,9/12/2005,158,UMN_RAL,,
2783,6,2007,68783 53 61,1258172,,Mount Baker-Snoqualmie NF,Boulder River Wilderness,2000-2009,2007,R6_2007078,P072 07-08,Sphglo,1,1,7/29/2007,161.47,UMN_RAL,,
2766,6,2011,57457 53 53,1210164,,Mount Baker-Snoqualmie NF,Clearwater Wilderness,2010-2019,2011,R6_2011084,P051 11-12,Plagla,1,1,7/29/2011,165.55,UMN_RAL,,
2776,6,2011,68292 53 61,1242188,,Mount Baker-Snoqualmie NF,Wild Sky Wilderness,2010-2019,2011,R6_2011086,P051 11-12,Plagla,1,1,7/27/2011,167.1,UMN_RAL,,
2766,6,2011,57457 53 53,1210164,,Mount Baker-Snoqualmie NF,Clearwater Wilderness,2010-2019,2011,R6_2011084,P051 11-12,Plagla,1,2,7/29/2011,173.04,UMN_RAL,,
2436,6,2005,98195 53 73,1288164,,Mount Baker-Snoqualmie NF,Mount Baker Wilderness,2000-2009,2005,R6_2005423,P071 05-06,Plagla,1,1,9/21/2005,175.1,UMN_RAL,,
107769,6,2015,98195 53 73,1288164,,Mount Baker-Snoqualmie NF,Mount Baker Wilderness,2010-2019,2015,R6_2015119,P102&127 15-16,Plagla,1,1,8/24/2015,177.93,UMN_RAL,,
107771,6,2015,66511 53 73,1278156,,Mount Baker-Snoqualmie NF,Mount Baker Wilderness,2010-2019,2015,R6_2015131,P102&127 15-16,Plagla,1,1,8/28/2015,184.63,UMN_RAL,,
2381,6,2005,87985 53 33,1226180,,Mount Baker-Snoqualmie NF,Alpine Lakes Wilderness,2000-2009,2005,R6_2005088,P071 05-06,Plagla,2,1,9/7/2005,186.4,UMN_RAL,,
2391,6,2005,93641 53 33,1236180,,Mount Baker-Snoqualmie NF,Alpine Lakes Wilderness,2000-2009,2005,R6_2005531,P071 05-06,Plagla,1,2,9/12/2005,195.2,UMN_RAL,,
2781,6,2007,63058 53 61,1252188,,Mount Baker-Snoqualmie NF,Henry M. Jackson Wilderness,2000-2009,2007,R6_2007068,P072 07-08,Plagla,1,1,7/29/2007,195.84,UMN_RAL,,
2381,6,2005,87985 53 33,1226180,,Mount Baker-Snoqualmie NF,Alpine Lakes Wilderness,2000-2009,2005,R6_2005088,P071 05-06,Plagla,2,2,9/7/2005,196.3,UMN_RAL,,
107947,6,2017,95896 53 53,1212188,,Mount Baker-Snoqualmie NF,Norse Peak Wilderness,2010-2019,2017,R6_2017009,P064 17-18,Plagla,1,1,8/29/2017,203.943,UMN_RAL,,
2786,6,2007,74518 53 57,1268200,,Mount Baker-Snoqualmie NF,Glacier Peak Wilderness,2000-2009,2007,R6_2007083,P072 07-08,Hypent,1,1,7/29/2007,207.79,UMN_RAL,,
2769,6,2007,82163 53 33,1232180,,Mount Baker-Snoqualmie NF,Alpine Lakes Wilderness,2000-2009,2007,R6_2007076,P072 07-08,Sphglo,1,1,7/30/2007,212.5,UMN_RAL,,
2423,6,2005,66511 53 73,1278156,,Mount Baker-Snoqualmie NF,Mount Baker Wilderness,2000-2009,2005,R6_2005183,P071 05-06,Plagla,1,1,9/27/2005,282.4,UMN_RAL,,
2436,6,2005,98195 53 73,1288164,,Mount Baker-Snoqualmie NF,Mount Baker Wilderness,2000-2009,2005,R6_2005340,P071 05-06,Plagla,2,1,9/21/2005,510.7,UMN_RAL,,
2690,6,2011,63714 41 5,1124152,,Mount Hood NF,Bull of the Woods Wilderness,2010-2019,2011,R6_2011132,P051 11-12,Plagla,1,2,7/13/2011,88.99,UMN_RAL,,
1980,6,2011,76252 41 5,1138152,,Mount Hood NF,Salmon-Huckleberry Wilderness,2010-2019,2011,R6_2011032,P051 11-12,Plagla,2,1,6/27/2011,96.88,UMN_RAL,,
2690,6,2011,63714 41 5,1124152,,Mount Hood NF,Bull of the Woods Wilderness,2010-2019,2011,R6_2011132,P051 11-12,Plagla,1,1,7/13/2011,97.03,UMN_RAL,,
2011,6,2011,97484 41 5,1140160,,Mount Hood NF,Salmon-Huckleberry Wilderness,2010-2019,2011,R6_2011029,P051 11-12,Plagla,2,1,6/11/2011,97.2,UMN_RAL,,
2011,6,2011,97484 41 5,1140160,,Mount Hood NF,Salmon-Huckleberry Wilderness,2010-2019,2011,R6_2011029,P051 11-12,Plagla,2,2,6/11/2011,103.17,UMN_RAL,,
1983,6,2011,80252 41 5,1138160,,Mount Hood NF,Salmon-Huckleberry Wilderness,2010-2019,2011,R6_2011021,P051 11-12,Plagla,2,1,6/29/2011,104,UMN_RAL,,
2011,6,2011,97484 41 5,1140160,,Mount Hood NF,Salmon-Huckleberry Wilderness,2010-2019,2011,R6_2011025,P051 11-12,Plagla,1,1,6/28/2011,111.03,UMN_RAL,,
1983,6,2011,80252 41 5,1138160,,Mount Hood NF,Salmon-Huckleberry Wilderness,2010-2019,2011,R6_2011019,P051 11-12,Plagla,1,1,6/29/2011,124.74,UMN_RAL,,
107541,6,2016,94593 41 5,1136160,1136160,Mount Hood NF,Salmon-Huckleberry Wilderness,2010-2019,2016,R6_2016031,P062 16-17,Hypina,1,2,8/17/2016,128.9053894,UMN_RAL,,
2126,6,2005,89701 41 51,1150152,,Mount Hood NF,Mark O. Hatfield Wilderness,2000-2009,2005,R6_2005002,P071 05-06,Plagla,1,1,6/29/2005,144.3,UMN_RAL,,
2037,6,2009,61684 41 5,1142168,,Mount Hood NF,Mount Hood Wilderness,2000-2009,2009,R6_2009232,P084 09-10,Plagla,1,1,9/23/2009,145.2973835,UMN_RAL,,
107759,6,2015,80796 41 5,1134152,,Mount Hood NF,Roaring River Wilderness,2010-2019,2015,R6_2015132,P102&127 15-16,Plagla,1,1,7/23/2015,146.81,UMN_RAL,,
106881,6,2013,93631 41 27,1152164,,Mount Hood NF,Mark O. Hatfield Wilderness,2010-2019,2013,R6_2013062,P045 13-14,Plagla,1,1,6/28/2013,156.17,UMN_RAL,,
107759,6,2015,80796 41 5,1134152,,Mount Hood NF,Roaring River Wilderness,2010-2019,2015,R6_2015132,P102&127 15-16,Plagla,1,2,7/23/2015,156.63,UMN_RAL,,
106880,6,2013,83335 41 27,1150164,,Mount Hood NF,Mark O. Hatfield Wilderness,2010-2019,2013,R6_2013068,P045 13-14,Plagla,1,1,6/27/2013,164.51,UMN_RAL,,
106880,6,2013,83335 41 27,1150164,,Mount Hood NF,Mark O. Hatfield Wilderness,2010-2019,2013,R6_2013068,P045 13-14,Plagla,1,2,6/27/2013,165.41,UMN_RAL,,
1874,6,2011,63714 41 5,1124152,,Mount Hood NF,Bull of the Woods Wilderness,2010-2019,2011,R6_2011017,P051 11-12,Plagla,1,1,7/13/2011,174.44,UMN_RAL,,
2033,6,2009,94944 41 5,1142160,,Mount Hood NF,Mount Hood Wilderness,2000-2009,2009,R6_2009229,P084 09-10,Plagla,1,1,9/23/2009,199.3906102,UMN_RAL,,
1858,6,2011,57762 41 47,1122144,,Mount Hood NF,Bull of the Woods Wilderness,2010-2019,2011,R6_2011131,P051 11-12,Plagla,1,2,7/12/2011,211.87,UMN_RAL,,
1858,6,2011,57762 41 47,1122144,,Mount Hood NF,Bull of the Woods Wilderness,2010-2019,2011,R6_2011131,P051 11-12,Plagla,1,1,7/12/2011,220.6,UMN_RAL,,
106882,6,2013,78524 41 27,1154168,,Mount Hood NF,Mark O. Hatfield Wilderness,2010-2019,2013,R6_2013059,P045 13-14,Plagla,1,1,6/26/2013,231.65,UMN_RAL,,
107754,6,2015,79052 41 27,1140176,,Mount Hood NF,Badger Creek Wilderness,2010-2019,2015,R6_2015126,P102&127 15-16,Plagla,1,1,7/20/2015,235.33,UMN_RAL,,
1921,6,2005,93078 41 5,1132148,,Mount Hood NF,,2000-2009,2005,R6_2005226,P071 05-06,Plagla,1,1,6/29/2005,247.4,UMN_RAL,,
2069,6,2005,57124 41 65,1144188,,Mount Hood NF,,2000-2009,2005,R6_2005463,P071 05-06,Letvul,1,1,6/13/2005,257.3,UMN_RAL,,
107755,6,2015,88603 41 27,1140180,,Mount Hood NF,Badger Creek Wilderness,2010-2019,2015,R6_2015124,P102&127 15-16,Plagla,1,1,7/20/2015,260.01,UMN_RAL,,
1844,6,2005,57913 41 47,1118164,,Mount Hood NF,Mount Jefferson Wilderness,2000-2009,2005,R6_2005035,P071 05-06,Plagla,1,1,8/10/2005,271.3,UMN_RAL,,
107758,6,2015,55838 41 5,1134160,,Mount Hood NF,Roaring River Wilderness,2010-2019,2015,R6_2015064,P102&127 15-16,Plagla,1,1,7/23/2015,273.39,UMN_RAL,,
107541,6,2016,94593 41 5,1136160,1136160,Mount Hood NF,Salmon-Huckleberry Wilderness,2010-2019,2016,R6_2016031,P062 16-17,Hypina,1,1,8/17/2016,273.488857,UMN_RAL,,
2069,6,2005,57124 41 65,1144188,,Mount Hood NF,,2000-2009,2005,R6_2005281,P071 05-06,Plagla,1,1,6/13/2005,794.2,UMN_RAL,,
2069,6,2005,57124 41 65,1144188,,Mount Hood NF,,2000-2009,2005,R6_2005281,P071 05-06,Plagla,1,2,6/13/2005,888.6,UMN_RAL,,
1895,6,2005,73160 41 65,1126168,,Mount Hood NF,,2000-2009,2005,R6_2005336,P071 05-06,Plagla,1,3,8/9/2005,1600,UMN_RAL,,
1895,6,2005,73160 41 65,1126168,,Mount Hood NF,,2000-2009,2005,R6_2005336,P071 05-06,Plagla,1,4,8/9/2005,1761,UMN_RAL,,
1991,6,2005,93372 41 65,1138188,,Mount Hood NF,,2000-2009,2005,R6_2005282,P071 05-06,Letvul,1,1,6/14/2005,1910,UMN_RAL,,
1991,6,2005,93372 41 65,1138188,,Mount Hood NF,,2000-2009,2005,R6_2005282,P071 05-06,Letvul,1,2,6/14/2005,2035,UMN_RAL,,
1895,6,2005,73160 41 65,1126168,,Mount Hood NF,,2000-2009,2005,R6_2005336,P071 05-06,Plagla,1,1,8/9/2005,2076,UMN_RAL,,
1895,6,2005,73160 41 65,1126168,,Mount Hood NF,,2000-2009,2005,R6_2005336,P071 05-06,Plagla,1,2,8/9/2005,2153,UMN_RAL,,
2385,6,2009,59027 53 37,1228196,,Okanogan-Wenatchee NF,Alpine Lakes Wilderness,2000-2009,2009,R6_2009214,P084 09-10,Plagla,2,1,8/22/2009,119.83,UMN_RAL,,
107843,6,2016,82291 53 47,2273320,2273320,Okanogan-Wenatchee NF,,2010-2019,2016,R6_2016098,P062 16-17,Plagla,1,1,8/8/2016,141.5853626,UMN_RAL,,
2409,6,2009,91861 53 7,1252216,,Okanogan-Wenatchee NF,,2000-2009,2009,R6_2009212,P084 09-10,Plagla,1,1,8/25/2009,142.2464411,UMN_RAL,,
2402,6,2009,79299 53 7,1246216,,Okanogan-Wenatchee NF,Glacier Peak Wilderness,2000-2009,2009,R6_2009218,P084 09-10,Plagla,1,1,8/24/2009,148.7939939,UMN_RAL,,
107842,6,2016,69986 53 47,1288268,1288268,Okanogan-Wenatchee NF,,2010-2019,2016,R6_2016101,P062 16-17,Letvul,1,2,9/19/2016,150.4203272,UMN_RAL,,
107842,6,2016,69986 53 47,1288268,1288268,Okanogan-Wenatchee NF,,2010-2019,2016,R6_2016101,P062 16-17,Letvul,1,1,9/19/2016,151.902458,UMN_RAL,,
2378,6,2011,56553 53 77,1206196,,Okanogan-Wenatchee NF,William O. Douglas Wilderness,2010-2019,2011,R6_2011082,P051 11-12,Plagla,1,1,7/30/2011,157.53,UMN_RAL,,
106893,6,2013,77220 53 47,1286224,,Okanogan-Wenatchee NF,Pasayten Wilderness,2010-2019,2013,R6_2013198,P045 13-14,Plagla,1,1,9/5/2013,163.38,UMN_RAL,,
107845,6,2016,96692 53 47,2282302,2282302,Okanogan-Wenatchee NF,,2010-2019,2016,R6_2016100,P062 16-17,Letvul,1,1,9/1/2016,168.9616899,UMN_RAL,,
2378,6,2011,56553 53 77,1206196,,Okanogan-Wenatchee NF,William O. Douglas Wilderness,2010-2019,2011,R6_2011089,P051 11-12,Letvul,2,1,7/30/2011,185.28,UMN_RAL,,
107847,6,2016,83949 53 47,2284302,2284302,Okanogan-Wenatchee NF,,2010-2019,2016,R6_2016099,P062 16-17,Letvul,2,1,8/11/2016,195.3206119,UMN_RAL,,
107847,6,2016,83949 53 47,2284302,2284302,Okanogan-Wenatchee NF,,2010-2019,2016,R6_2016099,P062 16-17,Letvul,2,2,8/11/2016,196.794826,UMN_RAL,,
2365,6,2011,65516 53 77,1196188,,Okanogan-Wenatchee NF,William O. Douglas Wilderness,2010-2019,2011,R6_2011078,P051 11-12,Plagla,1,1,7/27/2011,198.54,UMN_RAL,,
106910,6,2013,68486 53 77,1202188,,Okanogan-Wenatchee NF,William O. Douglas Wilderness,2010-2019,2013,R6_2013182,P045 13-14,Plagla,1,1,8/3/2013,203.03,UMN_RAL,,
2378,6,2011,56553 53 77,1206196,,Okanogan-Wenatchee NF,William O. Douglas Wilderness,2010-2019,2011,R6_2011090,P051 11-12,Letvul,1,1,7/30/2011,204.03,UMN_RAL,,
2395,6,2009,63804 53 7,1238220,,Okanogan-Wenatchee NF,Alpine Lakes Wilderness,2000-2009,2009,R6_2009224,P084 09-10,Letvul,2,1,8/23/2009,212.3427312,UMN_RAL,,
106912,6,2013,95604 53 77,1206192,,Okanogan-Wenatchee NF,William O. Douglas Wilderness,2010-2019,2013,R6_2013186,P045 13-14,Letvul,1,1,8/5/2013,218.85,UMN_RAL,,
106911,6,2013,63844 53 77,1202200,,Okanogan-Wenatchee NF,William O. Douglas Wilderness,2010-2019,2013,R6_2013178,P045 13-14,Letvul,1,1,8/2/2013,221.54,UMN_RAL,,
106911,6,2013,63844 53 77,1202200,,Okanogan-Wenatchee NF,William O. Douglas Wilderness,2010-2019,2013,R6_2013178,P045 13-14,Letvul,1,2,8/2/2013,225.45,UMN_RAL,,
2402,6,2009,79299 53 7,1246216,,Okanogan-Wenatchee NF,Glacier Peak Wilderness,2000-2009,2009,R6_2009225,P084 09-10,Letvul,1,1,8/24/2009,229.0777524,UMN_RAL,,
2784,6,2011,79133 53 47,1262240,,Okanogan-Wenatchee NF,Lake Chelan-Sawtooth Wilderness,2010-2019,2011,R6_2011042,P051 11-12,Letvul,2,1,8/23/2011,233.15,UMN_RAL,,
106898,6,2013,75469 53 47,1290224,,Okanogan-Wenatchee NF,Pasayten Wilderness,2010-2019,2013,R6_2013195,P045 13-14,Plagla,1,1,9/7/2013,242.76,UMN_RAL,,
2366,6,2011,68328 53 77,1196196,,Okanogan-Wenatchee NF,William O. Douglas Wilderness,2010-2019,2011,R6_2011095,P051 11-12,Letvul,1,1,7/26/2011,243.04,UMN_RAL,,
106911,6,2013,63844 53 77,1202200,,Okanogan-Wenatchee NF,William O. Douglas Wilderness,2010-2019,2013,R6_2013179,P045 13-14,Letvul,2,1,8/2/2013,250.01,UMN_RAL,,
2442,6,2009,77662 53 73,1288264,,Okanogan-Wenatchee NF,Pasayten Wilderness,2000-2009,2009,R6_2009216,P084 09-10,Plagla,1,1,8/26/2009,253.7718137,UMN_RAL,,
106897,6,2013,93968 53 47,1290220,,Okanogan-Wenatchee NF,Pasayten Wilderness,2010-2019,2013,R6_2013197,P045 13-14,Plagla,1,1,9/9/2013,257.25,UMN_RAL,,
2422,6,2011,53286 53 47,1270240,,Okanogan-Wenatchee NF,Lake Chelan-Sawtooth Wilderness,2010-2019,2011,R6_2011043,P051 11-12,Letvul,2,1,8/22/2011,264.92,UMN_RAL,,
2395,6,2009,63804 53 7,1238220,,Okanogan-Wenatchee NF,Alpine Lakes Wilderness,2000-2009,2009,R6_2009223,P084 09-10,Letvul,1,1,8/23/2009,276.1869918,UMN_RAL,,
2784,6,2011,79133 53 47,1262240,,Okanogan-Wenatchee NF,Lake Chelan-Sawtooth Wilderness,2010-2019,2011,R6_2011139,P051 11-12,Letvul,1,1,8/23/2011,278.8,UMN_RAL,,
3652,6,2011,LChelan1,LChelan1,,Okanogan-Wenatchee NF,Lake Chelan-Sawtooth Wilderness,2010-2019,2011,R6_2011036,P051 11-12,Letvul,1,1,8/29/2011,280.32,UMN_RAL,,
2422,6,2011,53286 53 47,1270240,,Okanogan-Wenatchee NF,Lake Chelan-Sawtooth Wilderness,2010-2019,2011,R6_2011040,P051 11-12,Letvul,1,1,8/22/2011,302.09,UMN_RAL,,
106905,6,2013,89220 53 77,1208208,,Okanogan-Wenatchee NF,,2010-2019,2013,R6_2013181,P045 13-14,Plagla,1,1,8/2/2013,306.92,UMN_RAL,,
106895,6,2013,80627 53 47,1288224,,Okanogan-Wenatchee NF,Pasayten Wilderness,2010-2019,2013,R6_2013203,P045 13-14,Letvul,2,1,9/6/2013,317.55,UMN_RAL,,
2376,6,2011,64797 53 77,1200192,,Okanogan-Wenatchee NF,William O. Douglas Wilderness,2010-2019,2011,R6_2011093,P051 11-12,Letvul,1,1,7/29/2011,321.4,UMN_RAL,,
3193,6,2008,CleElum3,CleElum3,,Okanogan-Wenatchee NF,,2000-2009,2008,R6_2008152,P004 08-09,Letvul,1,1,8/10/2008,346.41,UMN_RAL,,
106891,6,2013,82850 53 77,1208188,,Okanogan-Wenatchee NF,Norse Peak Wilderness,2010-2019,2013,R6_2013184,P045 13-14,Letvul,1,1,8/4/2013,347.03,UMN_RAL,,
107846,6,2016,80151 53 47,2289294,2289294,Okanogan-Wenatchee NF,,2010-2019,2016,R6_2016097,P062 16-17,Letvul,1,1,7/13/2016,351.1070071,UMN_RAL,,
