ID,TaxLevel,Lifeform,Morphology,Habit,Symbiont,fxlgp,TaxStatus,Synonym,CurrentSciName22chklst,CurrentAuth,ChcklstRemrks,NewSciCode,R6Scicode,FIANumCode,FIAAlphaCode,FIA Sci,NRCS Symbol,Common Name,Notes,Family,fxlgpcode,S_e_class,S_e_occ,S_e_max,S_e_CL =80+,S_e_50+,S_e_10+,S_w_class,S_w_occ,S_w_max,S_w_CL =80+,S_w_50+ w,S_w_10+ ,N_e_class ,N_e_occ,N_e_max,N_e_CL =80+,N_e_50+,N_e_10+,N_w_class,N_w_occ,N_w_max,N_w_CL =80+,N_w_50+,N_w_10+,consrv_stat,consrv_stat_link
7664,Genus,Microlichen,Crustose,,,,Synonym,Huilia,Porpidia,Körber,,Huilia,Huilia,,,,,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7665,Genus,Microlichen,Crustose,,,,Current,Porpidia,Porpidia,Körber,,Porpidia,Porpidia,,,,PORPI2,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7666,Species,Microlichen,Crustose,,,,Synonym,Huilia albocaerulescens,Porpidia albocaerulescens,(Wulfen) Hertel & Knoph,,Huialb,Poralb,,,,POAL17,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G5,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1047221/Porpidia_albocaerulescens
7667,Species,Microlichen,Crustose,,,,Synonym,Lecidea albocaerulescens,Porpidia albocaerulescens,(Wulfen) Hertel & Knoph,,Lecalb112,Poralb,,,,POAL17,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G5,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1047221/Porpidia_albocaerulescens
7668,Species,Microlichen,Crustose,,,,Synonym,Lecidea hebescens,Porpidia albocaerulescens,(Wulfen) Hertel & Knoph,,Lecheb,Poralb,,,,POAL17,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G5,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1047221/Porpidia_albocaerulescens
7669,Species,Microlichen,Crustose,,,,Current,Porpidia albocaerulescens,Porpidia albocaerulescens,(Wulfen) Hertel & Knoph,,Poralb,Poralb,,,,POAL17,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G5,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1047221/Porpidia_albocaerulescens
7670,Species,Microlichen,Crustose,,,,Current,Porpidia calcarea,Porpidia calcarea,Gowan,,Porcal,,,,,POCA39,calcareous porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7671,Species,Microlichen,Crustose,,,,Current,Porpidia carlottiana,Porpidia carlottiana,Gowan,,Porcar1,,,,,POCA40,Charlotte's porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7672,Species,Microlichen,Crustose,,,,Synonym,Huilia cinereoatra,Porpidia cinereoatra,(Ach.) Hertel & Knoph,,Huicin,Porcin,,,,POCI5,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7673,Species,Microlichen,Crustose,,,,Synonym,Lecidea cinereoatra,Porpidia cinereoatra,(Ach.) Hertel & Knoph,,Leccin16,Porcin,,,,POCI5,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
